Traj,Epoch,Seed
1,0,1
1,1,2
1,2,3
1,3,4
1,4,5
1,5,6
1,6,7
1,7,8
1,8,9
1,9,10
2,0,11
2,1,12
2,2,13
2,3,14
2,4,15
2,5,16
2,6,17
2,7,18
2,8,19
2,9,20
3,0,21
3,1,22
3,2,23
3,3,24
3,4,25
3,5,26
3,6,27
3,7,28
3,8,29
3,9,30
4,0,31
4,1,32
4,2,33
4,3,34
4,4,35
4,5,36
4,6,37
4,7,38
4,8,39
4,9,40
5,0,41
5,1,42
5,2,43
5,3,44
5,4,45
5,5,46
5,6,47
5,7,48
5,8,49
5,9,50
6,0,51
6,1,52
6,2,53
6,3,54
6,4,55
6,5,56
6,6,57
6,7,58
6,8,59
6,9,60
7,0,61
7,1,62
7,2,63
7,3,64
7,4,65
7,5,66
7,6,67
7,7,68
7,8,69
7,9,70
8,0,71
8,1,72
8,2,73
8,3,74
8,4,75
8,5,76
8,6,77
8,7,78
8,8,79
8,9,80
9,0,81
9,1,82
9,2,83
9,3,84
9,4,85
9,5,86
9,6,87
9,7,88
9,8,89
9,9,90
10,0,91
10,1,92
10,2,93
10,3,94
10,4,95
10,5,96
10,6,97
10,7,98
10,8,99
10,9,100
11,0,101
11,1,102
11,2,103
11,3,104
11,4,105
11,5,106
11,6,107
11,7,108
11,8,109
11,9,110
12,0,111
12,1,112
12,2,113
12,3,114
12,4,115
12,5,116
12,6,117
12,7,118
12,8,119
12,9,120
13,0,121
13,1,122
13,2,123
13,3,124
13,4,125
13,5,126
13,6,127
13,7,128
13,8,129
13,9,130
14,0,131
14,1,132
14,2,133
14,3,134
14,4,135
14,5,136
14,6,137
14,7,138
14,8,139
14,9,140
15,0,141
15,1,142
15,2,143
15,3,144
15,4,145
15,5,146
15,6,147
15,7,148
15,8,149
15,9,150
16,0,151
16,1,152
16,2,153
16,3,154
16,4,155
16,5,156
16,6,157
16,7,158
16,8,159
16,9,160
17,0,161
17,1,162
17,2,163
17,3,164
17,4,165
17,5,166
17,6,167
17,7,168
17,8,169
17,9,170
18,0,171
18,1,172
18,2,173
18,3,174
18,4,175
18,5,176
18,6,177
18,7,178
18,8,179
18,9,180
19,0,181
19,1,182
19,2,183
19,3,184
19,4,185
19,5,186
19,6,187
19,7,188
19,8,189
19,9,190
20,0,191
20,1,192
20,2,193
20,3,194
20,4,195
20,5,196
20,6,197
20,7,198
20,8,199
20,9,200
21,0,201
21,1,202
21,2,203
21,3,204
21,4,205
21,5,206
21,6,207
21,7,208
21,8,209
21,9,210
22,0,211
22,1,212
22,2,213
22,3,214
22,4,215
22,5,216
22,6,217
22,7,218
22,8,219
22,9,220
23,0,221
23,1,222
23,2,223
23,3,224
23,4,225
23,5,226
23,6,227
23,7,228
23,8,229
23,9,230
24,0,231
24,1,232
24,2,233
24,3,234
24,4,235
24,5,236
24,6,237
24,7,238
24,8,239
24,9,240
25,0,241
25,1,242
25,2,243
25,3,244
25,4,245
25,5,246
25,6,247
25,7,248
25,8,249
25,9,250
26,0,251
26,1,252
26,2,253
26,3,254
26,4,255
26,5,256
26,6,257
26,7,258
26,8,259
26,9,260
27,0,261
27,1,262
27,2,263
27,3,264
27,4,265
27,5,266
27,6,267
27,7,268
27,8,269
27,9,270
28,0,271
28,1,272
28,2,273
28,3,274
28,4,275
28,5,276
28,6,277
28,7,278
28,8,279
28,9,280
29,0,281
29,1,282
29,2,283
29,3,284
29,4,285
29,5,286
29,6,287
29,7,288
29,8,289
29,9,290
30,0,291
30,1,292
30,2,293
30,3,294
30,4,295
30,5,296
30,6,297
30,7,298
30,8,299
30,9,300
31,0,301
31,1,302
31,2,303
31,3,304
31,4,305
31,5,306
31,6,307
31,7,308
31,8,309
31,9,310
32,0,311
32,1,312
32,2,313
32,3,314
32,4,315
32,5,316
32,6,317
32,7,318
32,8,319
32,9,320
33,0,321
33,1,322
33,2,323
33,3,324
33,4,325
33,5,326
33,6,327
33,7,328
33,8,329
33,9,330
34,0,331
34,1,332
34,2,333
34,3,334
34,4,335
34,5,336
34,6,337
34,7,338
34,8,339
34,9,340
35,0,341
35,1,342
35,2,343
35,3,344
35,4,345
35,5,346
35,6,347
35,7,348
35,8,349
35,9,350
36,0,351
36,1,352
36,2,353
36,3,354
36,4,355
36,5,356
36,6,357
36,7,358
36,8,359
36,9,360
37,0,361
37,1,362
37,2,363
37,3,364
37,4,365
37,5,366
37,6,367
37,7,368
37,8,369
37,9,370
38,0,371
38,1,372
38,2,373
38,3,374
38,4,375
38,5,376
38,6,377
38,7,378
38,8,379
38,9,380
39,0,381
39,1,382
39,2,383
39,3,384
39,4,385
39,5,386
39,6,387
39,7,388
39,8,389
39,9,390
40,0,391
40,1,392
40,2,393
40,3,394
40,4,395
40,5,396
40,6,397
40,7,398
40,8,399
40,9,400
41,0,401
41,1,402
41,2,403
41,3,404
41,4,405
41,5,406
41,6,407
41,7,408
41,8,409
41,9,410
42,0,411
42,1,412
42,2,413
42,3,414
42,4,415
42,5,416
42,6,417
42,7,418
42,8,419
42,9,420
43,0,421
43,1,422
43,2,423
43,3,424
43,4,425
43,5,426
43,6,427
43,7,428
43,8,429
43,9,430
44,0,431
44,1,432
44,2,433
44,3,434
44,4,435
44,5,436
44,6,437
44,7,438
44,8,439
44,9,440
45,0,441
45,1,442
45,2,443
45,3,444
45,4,445
45,5,446
45,6,447
45,7,448
45,8,449
45,9,450
46,0,451
46,1,452
46,2,453
46,3,454
46,4,455
46,5,456
46,6,457
46,7,458
46,8,459
46,9,460
47,0,461
47,1,462
47,2,463
47,3,464
47,4,465
47,5,466
47,6,467
47,7,468
47,8,469
47,9,470
48,0,471
48,1,472
48,2,473
48,3,474
48,4,475
48,5,476
48,6,477
48,7,478
48,8,479
48,9,480
49,0,481
49,1,482
49,2,483
49,3,484
49,4,485
49,5,486
49,6,487
49,7,488
49,8,489
49,9,490
50,0,491
50,1,492
50,2,493
50,3,494
50,4,495
50,5,496
50,6,497
50,7,498
50,8,499
50,9,500
51,0,501
51,1,502
51,2,503
51,3,504
51,4,505
51,5,506
51,6,507
51,7,508
51,8,509
51,9,510
52,0,511
52,1,512
52,2,513
52,3,514
52,4,515
52,5,516
52,6,517
52,7,518
52,8,519
52,9,520
53,0,521
53,1,522
53,2,523
53,3,524
53,4,525
53,5,526
53,6,527
53,7,528
53,8,529
53,9,530
54,0,531
54,1,532
54,2,533
54,3,534
54,4,535
54,5,536
54,6,537
54,7,538
54,8,539
54,9,540
55,0,541
55,1,542
55,2,543
55,3,544
55,4,545
55,5,546
55,6,547
55,7,548
55,8,549
55,9,550
56,0,551
56,1,552
56,2,553
56,3,554
56,4,555
56,5,556
56,6,557
56,7,558
56,8,559
56,9,560
57,0,561
57,1,562
57,2,563
57,3,564
57,4,565
57,5,566
57,6,567
57,7,568
57,8,569
57,9,570
58,0,571
58,1,572
58,2,573
58,3,574
58,4,575
58,5,576
58,6,577
58,7,578
58,8,579
58,9,580
59,0,581
59,1,582
59,2,583
59,3,584
59,4,585
59,5,586
59,6,587
59,7,588
59,8,589
59,9,590
60,0,591
60,1,592
60,2,593
60,3,594
60,4,595
60,5,596
60,6,597
60,7,598
60,8,599
60,9,600
61,0,601
61,1,602
61,2,603
61,3,604
61,4,605
61,5,606
61,6,607
61,7,608
61,8,609
61,9,610
62,0,611
62,1,612
62,2,613
62,3,614
62,4,615
62,5,616
62,6,617
62,7,618
62,8,619
62,9,620
63,0,621
63,1,622
63,2,623
63,3,624
63,4,625
63,5,626
63,6,627
63,7,628
63,8,629
63,9,630
64,0,631
64,1,632
64,2,633
64,3,634
64,4,635
64,5,636
64,6,637
64,7,638
64,8,639
64,9,640
65,0,641
65,1,642
65,2,643
65,3,644
65,4,645
65,5,646
65,6,647
65,7,648
65,8,649
65,9,650
66,0,651
66,1,652
66,2,653
66,3,654
66,4,655
66,5,656
66,6,657
66,7,658
66,8,659
66,9,660
67,0,661
67,1,662
67,2,663
67,3,664
67,4,665
67,5,666
67,6,667
67,7,668
67,8,669
67,9,670
68,0,671
68,1,672
68,2,673
68,3,674
68,4,675
68,5,676
68,6,677
68,7,678
68,8,679
68,9,680
69,0,681
69,1,682
69,2,683
69,3,684
69,4,685
69,5,686
69,6,687
69,7,688
69,8,689
69,9,690
70,0,691
70,1,692
70,2,693
70,3,694
70,4,695
70,5,696
70,6,697
70,7,698
70,8,699
70,9,700
71,0,701
71,1,702
71,2,703
71,3,704
71,4,705
71,5,706
71,6,707
71,7,708
71,8,709
71,9,710
72,0,711
72,1,712
72,2,713
72,3,714
72,4,715
72,5,716
72,6,717
72,7,718
72,8,719
72,9,720
73,0,721
73,1,722
73,2,723
73,3,724
73,4,725
73,5,726
73,6,727
73,7,728
73,8,729
73,9,730
74,0,731
74,1,732
74,2,733
74,3,734
74,4,735
74,5,736
74,6,737
74,7,738
74,8,739
74,9,740
75,0,741
75,1,742
75,2,743
75,3,744
75,4,745
75,5,746
75,6,747
75,7,748
75,8,749
75,9,750
76,0,751
76,1,752
76,2,753
76,3,754
76,4,755
76,5,756
76,6,757
76,7,758
76,8,759
76,9,760
77,0,761
77,1,762
77,2,763
77,3,764
77,4,765
77,5,766
77,6,767
77,7,768
77,8,769
77,9,770
78,0,771
78,1,772
78,2,773
78,3,774
78,4,775
78,5,776
78,6,777
78,7,778
78,8,779
78,9,780
79,0,781
79,1,782
79,2,783
79,3,784
79,4,785
79,5,786
79,6,787
79,7,788
79,8,789
79,9,790
80,0,791
80,1,792
80,2,793
80,3,794
80,4,795
80,5,796
80,6,797
80,7,798
80,8,799
80,9,800
81,0,801
81,1,802
81,2,803
81,3,804
81,4,805
81,5,806
81,6,807
81,7,808
81,8,809
81,9,810
82,0,811
82,1,812
82,2,813
82,3,814
82,4,815
82,5,816
82,6,817
82,7,818
82,8,819
82,9,820
83,0,821
83,1,822
83,2,823
83,3,824
83,4,825
83,5,826
83,6,827
83,7,828
83,8,829
83,9,830
84,0,831
84,1,832
84,2,833
84,3,834
84,4,835
84,5,836
84,6,837
84,7,838
84,8,839
84,9,840
85,0,841
85,1,842
85,2,843
85,3,844
85,4,845
85,5,846
85,6,847
85,7,848
85,8,849
85,9,850
86,0,851
86,1,852
86,2,853
86,3,854
86,4,855
86,5,856
86,6,857
86,7,858
86,8,859
86,9,860
87,0,861
87,1,862
87,2,863
87,3,864
87,4,865
87,5,866
87,6,867
87,7,868
87,8,869
87,9,870
88,0,871
88,1,872
88,2,873
88,3,874
88,4,875
88,5,876
88,6,877
88,7,878
88,8,879
88,9,880
89,0,881
89,1,882
89,2,883
89,3,884
89,4,885
89,5,886
89,6,887
89,7,888
89,8,889
89,9,890
90,0,891
90,1,892
90,2,893
90,3,894
90,4,895
90,5,896
90,6,897
90,7,898
90,8,899
90,9,900
91,0,901
91,1,902
91,2,903
91,3,904
91,4,905
91,5,906
91,6,907
91,7,908
91,8,909
91,9,910
92,0,911
92,1,912
92,2,913
92,3,914
92,4,915
92,5,916
92,6,917
92,7,918
92,8,919
92,9,920
93,0,921
93,1,922
93,2,923
93,3,924
93,4,925
93,5,926
93,6,927
93,7,928
93,8,929
93,9,930
94,0,931
94,1,932
94,2,933
94,3,934
94,4,935
94,5,936
94,6,937
94,7,938
94,8,939
94,9,940
95,0,941
95,1,942
95,2,943
95,3,944
95,4,945
95,5,946
95,6,947
95,7,948
95,8,949
95,9,950
96,0,951
96,1,952
96,2,953
96,3,954
96,4,955
96,5,956
96,6,957
96,7,958
96,8,959
96,9,960
97,0,961
97,1,962
97,2,963
97,3,964
97,4,965
97,5,966
97,6,967
97,7,968
97,8,969
97,9,970
98,0,971
98,1,972
98,2,973
98,3,974
98,4,975
98,5,976
98,6,977
98,7,978
98,8,979
98,9,980
99,0,981
99,1,982
99,2,983
99,3,984
99,4,985
99,5,986
99,6,987
99,7,988
99,8,989
99,9,990
100,0,991
100,1,992
100,2,993
100,3,994
100,4,995
100,5,996
100,6,997
100,7,998
100,8,999
100,9,1000
101,0,1001
101,1,1002
101,2,1003
101,3,1004
101,4,1005
101,5,1006
101,6,1007
101,7,1008
101,8,1009
101,9,1010
102,0,1011
102,1,1012
102,2,1013
102,3,1014
102,4,1015
102,5,1016
102,6,1017
102,7,1018
102,8,1019
102,9,1020
103,0,1021
103,1,1022
103,2,1023
103,3,1024
103,4,1025
103,5,1026
103,6,1027
103,7,1028
103,8,1029
103,9,1030
104,0,1031
104,1,1032
104,2,1033
104,3,1034
104,4,1035
104,5,1036
104,6,1037
104,7,1038
104,8,1039
104,9,1040
105,0,1041
105,1,1042
105,2,1043
105,3,1044
105,4,1045
105,5,1046
105,6,1047
105,7,1048
105,8,1049
105,9,1050
106,0,1051
106,1,1052
106,2,1053
106,3,1054
106,4,1055
106,5,1056
106,6,1057
106,7,1058
106,8,1059
106,9,1060
107,0,1061
107,1,1062
107,2,1063
107,3,1064
107,4,1065
107,5,1066
107,6,1067
107,7,1068
107,8,1069
107,9,1070
108,0,1071
108,1,1072
108,2,1073
108,3,1074
108,4,1075
108,5,1076
108,6,1077
108,7,1078
108,8,1079
108,9,1080
109,0,1081
109,1,1082
109,2,1083
109,3,1084
109,4,1085
109,5,1086
109,6,1087
109,7,1088
109,8,1089
109,9,1090
110,0,1091
110,1,1092
110,2,1093
110,3,1094
110,4,1095
110,5,1096
110,6,1097
110,7,1098
110,8,1099
110,9,1100
111,0,1101
111,1,1102
111,2,1103
111,3,1104
111,4,1105
